Dealer,Product,Region,Inventory_Level,Consumption_Pattern,Stock_Movement,Risk_Level,Stockout_Risk,Seasonality,Forecast_Requirement,Alert
Dealer_C,Product_Z,South,812,56,normal,high,False,high_demand,4919,True
Dealer_C,Product_Z,South,73,69,drop,low,False,steady,1874,False
Dealer_D,Product_W,South,308,98,spike,medium,True,steady,9509,True
Dealer_D,Product_W,Central,496,4,spike,low,False,steady,8224,True
Dealer_B,Product_X,Central,227,90,normal,low,False,steady,3740,True
Dealer_B,Product_Z,West,452,90,spike,high,True,high_demand,8289,False
Dealer_C,Product_W,East,491,18,normal,medium,False,steady,1962,False
Dealer_C,Product_Y,North,447,1,drop,high,False,high_demand,467,True
Dealer_A,Product_Z,East,214,136,normal,medium,True,high_demand,5447,True
Dealer_E,Product_X,Central,811,54,normal,high,False,steady,2434,False
Dealer_A,Product_X,West,601,9,drop,low,True,low_demand,8287,True
Dealer_A,Product_W,North,531,1,spike,medium,True,high_demand,9774,True
Dealer_B,Product_V,West,129,63,drop,low,False,steady,8900,False
Dealer_A,Product_X,West,246,61,spike,high,True,high_demand,1444,True
Dealer_D,Product_Z,Central,507,79,normal,medium,False,low_demand,6754,True
Dealer_A,Product_X,Central,124,13,spike,high,False,steady,257,True
Dealer_C,Product_X,Central,250,12,spike,high,False,high_demand,3930,False
Dealer_A,Product_W,East,360,71,drop,medium,False,high_demand,2206,True
Dealer_C,Product_V,East,305,51,normal,low,False,high_demand,6999,False
Dealer_A,Product_Z,West,619,63,spike,low,True,low_demand,3727,True
Dealer_A,Product_V,South,667,44,spike,low,True,steady,9081,False
Dealer_B,Product_Z,North,673,12,drop,low,False,high_demand,5298,True
Dealer_C,Product_V,East,386,46,drop,medium,True,low_demand,655,True
Dealer_A,Product_W,West,519,51,drop,low,True,low_demand,5287,True
Dealer_C,Product_Z,North,395,87,drop,low,False,steady,1517,False
Dealer_B,Product_Z,North,541,78,spike,high,False,steady,472,True
Dealer_A,Product_X,North,740,54,normal,low,True,steady,5298,False
Dealer_E,Product_X,North,406,96,normal,high,False,steady,5501,True
Dealer_D,Product_Z,West,274,94,normal,low,False,steady,6287,True
Dealer_E,Product_Z,East,423,12,drop,medium,True,steady,7702,False
Dealer_B,Product_X,North,924,32,drop,low,False,low_demand,1762,True
Dealer_A,Product_V,Central,137,95,normal,medium,False,high_demand,8788,True
Dealer_A,Product_Z,Central,520,72,drop,high,True,steady,1094,True
Dealer_A,Product_Y,East,967,51,spike,medium,False,high_demand,466,True
Dealer_B,Product_W,South,684,39,spike,low,False,high_demand,6099,False
Dealer_B,Product_W,South,138,75,normal,medium,True,steady,5519,False
Dealer_B,Product_W,South,113,43,drop,high,True,low_demand,6771,True
Dealer_C,Product_W,Central,883,30,spike,low,True,low_demand,9225,False
Dealer_A,Product_X,East,659,84,drop,medium,False,steady,1769,True
Dealer_B,Product_V,East,895,33,normal,low,False,high_demand,6769,False
Dealer_E,Product_V,Central,741,58,drop,high,False,steady,296,True
Dealer_A,Product_X,West,190,51,normal,high,True,steady,1716,True
Dealer_A,Product_W,South,520,45,drop,low,True,low_demand,7529,False
Dealer_C,Product_Y,North,1345,50,drop,low,False,steady,4214,False
Dealer_D,Product_X,Central,520,77,drop,high,True,high_demand,6268,True
Dealer_D,Product_Y,South,563,27,spike,medium,False,low_demand,6250,True
Dealer_B,Product_Y,North,745,80,spike,low,False,high_demand,4090,False
Dealer_D,Product_X,North,38,85,spike,high,False,steady,2329,True
Dealer_B,Product_W,West,480,90,normal,high,True,high_demand,7902,True
Dealer_A,Product_W,South,520,12,spike,medium,False,low_demand,5893,True
Dealer_C,Product_Z,West,176,13,spike,high,True,steady,2533,True
Dealer_D,Product_X,Central,917,48,drop,low,False,steady,3704,True
Dealer_B,Product_W,Central,668,20,drop,high,True,low_demand,8990,False
Dealer_C,Product_W,North,90,64,spike,medium,True,steady,6318,True
Dealer_D,Product_W,Central,706,10,normal,low,False,high_demand,6873,False
Dealer_E,Product_Z,West,373,51,normal,low,False,high_demand,7082,True
Dealer_B,Product_Y,Central,93,17,spike,medium,True,low_demand,1225,False
Dealer_A,Product_Z,Central,287,46,normal,high,False,steady,2825,True
Dealer_B,Product_Z,East,989,76,normal,high,False,low_demand,7114,False
Dealer_A,Product_V,Central,758,63,normal,high,False,steady,1723,False
Dealer_B,Product_V,South,304,70,drop,high,True,steady,5769,False
Dealer_D,Product_V,East,206,51,drop,medium,True,low_demand,8643,False
Dealer_A,Product_Z,Central,441,94,drop,medium,True,steady,841,False
Dealer_C,Product_X,East,534,52,drop,low,True,steady,8106,True
Dealer_E,Product_Y,Central,794,1,spike,low,True,low_demand,5570,True
Dealer_E,Product_W,East,21,64,normal,low,True,low_demand,1710,True
Dealer_B,Product_W,Central,240,30,spike,high,True,steady,5298,False
Dealer_D,Product_V,Central,753,59,drop,low,False,high_demand,993,True
Dealer_E,Product_W,South,178,57,spike,low,True,steady,3971,True
Dealer_A,Product_W,North,279,6,drop,high,True,steady,5298,False
Dealer_B,Product_Y,Central,866,136,drop,low,False,low_demand,5298,False
Dealer_B,Product_W,North,973,51,normal,medium,True,low_demand,4312,True
Dealer_C,Product_Z,East,995,76,normal,low,False,high_demand,6139,False
Dealer_E,Product_X,North,452,9,spike,low,True,low_demand,7408,False
Dealer_D,Product_W,West,627,51,drop,medium,False,steady,5706,False
Dealer_E,Product_Z,East,171,24,spike,low,True,high_demand,938,False
Dealer_D,Product_Y,West,904,70,drop,high,True,steady,3756,True
Dealer_C,Product_Y,West,54,44,spike,high,False,steady,4545,False
Dealer_C,Product_Z,East,48,136,drop,low,False,low_demand,9489,False
Dealer_C,Product_Y,South,520,77,drop,medium,False,steady,2978,True
Dealer_E,Product_Z,West,267,45,normal,low,False,high_demand,5298,False
Dealer_E,Product_V,Central,954,91,drop,low,True,low_demand,7303,True
Dealer_C,Product_V,East,527,71,drop,high,False,low_demand,1551,True
Dealer_A,Product_V,East,428,44,spike,low,True,low_demand,2957,True
Dealer_E,Product_V,East,1345,64,drop,low,False,steady,5052,False
Dealer_A,Product_Y,West,21,5,drop,medium,False,high_demand,4183,False
Dealer_D,Product_V,East,719,136,drop,low,False,low_demand,5676,True
Dealer_A,Product_Z,Central,590,91,spike,low,False,low_demand,5607,False
Dealer_A,Product_X,South,986,51,spike,high,False,low_demand,4540,False
Dealer_B,Product_V,Central,607,72,spike,low,False,high_demand,3065,False
Dealer_C,Product_X,South,177,42,drop,high,False,high_demand,1240,False
Dealer_B,Product_Z,South,181,51,spike,low,True,steady,6946,False
Dealer_C,Product_Z,North,761,136,spike,medium,False,low_demand,3040,False
Dealer_C,Product_Z,Central,333,3,drop,medium,False,low_demand,7555,False
Dealer_E,Product_V,Central,382,34,normal,medium,False,steady,9472,False
Dealer_B,Product_Y,West,981,75,normal,low,False,low_demand,2919,True
Dealer_A,Product_W,North,518,55,spike,low,True,low_demand,333,True
Dealer_B,Product_Z,West,561,31,drop,medium,True,steady,8789,True
Dealer_C,Product_Y,East,793,76,spike,high,True,steady,6752,False
Dealer_E,Product_X,South,211,18,normal,high,False,steady,9430,False
Dealer_E,Product_W,West,785,15,drop,low,True,high_demand,2770,True
Dealer_A,Product_X,East,905,42,normal,medium,False,low_demand,5968,False
Dealer_E,Product_X,Central,316,44,drop,medium,False,low_demand,6154,False
Dealer_A,Product_W,South,848,67,drop,high,True,low_demand,6827,False
Dealer_A,Product_Z,West,245,11,normal,low,False,high_demand,7007,False
Dealer_D,Product_X,Central,631,61,spike,low,False,high_demand,704,True
Dealer_B,Product_Y,Central,1345,72,drop,low,False,low_demand,13546,True
Dealer_A,Product_V,North,977,76,normal,high,True,high_demand,502,True
Dealer_A,Product_Y,North,476,95,drop,low,True,steady,7066,True
Dealer_A,Product_Y,South,857,75,drop,low,False,low_demand,5076,True
Dealer_B,Product_W,East,890,94,spike,medium,True,high_demand,7744,True
Dealer_A,Product_W,West,635,1,drop,low,True,low_demand,4755,True
Dealer_E,Product_Z,North,581,16,normal,low,False,low_demand,5298,True
Dealer_A,Product_V,South,277,83,normal,medium,True,steady,4693,False
Dealer_A,Product_Y,East,141,32,spike,low,False,low_demand,4235,False
Dealer_A,Product_W,East,520,22,normal,medium,False,low_demand,7711,False
Dealer_A,Product_W,West,723,66,drop,medium,True,low_demand,3734,False
Dealer_A,Product_W,Central,767,96,normal,medium,True,steady,13546,False
Dealer_A,Product_W,West,520,16,drop,low,False,high_demand,7836,True
Dealer_B,Product_W,Central,665,68,normal,low,False,steady,6599,True
Dealer_A,Product_X,West,525,15,drop,medium,True,high_demand,1560,True
Dealer_C,Product_W,South,735,1,normal,medium,False,low_demand,6190,True
Dealer_A,Product_X,East,545,53,spike,low,False,high_demand,8575,False
Dealer_A,Product_Z,South,42,24,normal,high,False,low_demand,8703,True
Dealer_C,Product_W,South,878,84,drop,low,True,steady,7693,True
Dealer_B,Product_V,North,83,54,spike,high,False,high_demand,5209,True
Dealer_A,Product_W,West,972,11,drop,low,True,low_demand,2572,True
Dealer_A,Product_X,South,677,51,normal,high,False,low_demand,2923,True
Dealer_B,Product_V,South,730,14,drop,low,False,low_demand,13546,True
Dealer_A,Product_Y,Central,1345,42,spike,low,False,steady,7294,False
Dealer_E,Product_X,East,886,88,normal,low,True,high_demand,5122,False
Dealer_A,Product_W,South,865,84,spike,medium,True,low_demand,916,False
Dealer_D,Product_X,Central,444,51,spike,low,False,steady,7804,False
Dealer_D,Product_Y,North,359,57,normal,high,True,low_demand,6302,True
Dealer_A,Product_W,North,148,3,normal,high,False,steady,6111,True
Dealer_A,Product_Y,North,663,26,drop,medium,True,low_demand,5298,True
Dealer_D,Product_X,North,429,61,drop,low,True,high_demand,8750,True
Dealer_B,Product_Z,Central,792,70,drop,medium,True,high_demand,7359,True
Dealer_A,Product_W,Central,488,43,normal,low,False,steady,3546,True
Dealer_D,Product_Z,West,701,80,drop,medium,False,high_demand,5362,True
Dealer_E,Product_W,Central,409,26,drop,medium,False,low_demand,8072,True
Dealer_E,Product_X,South,754,136,drop,high,True,steady,1222,False
Dealer_E,Product_Y,North,790,41,drop,low,False,high_demand,4593,False
Dealer_D,Product_Z,West,378,90,normal,low,True,steady,7167,True
Dealer_E,Product_W,North,900,74,spike,medium,True,low_demand,7433,True
Dealer_E,Product_Z,South,343,2,spike,low,True,steady,8666,False
Dealer_A,Product_W,Central,933,136,spike,high,False,steady,8546,False
Dealer_E,Product_Z,South,445,29,drop,medium,True,steady,6202,True
Dealer_B,Product_V,West,987,17,drop,low,True,low_demand,3702,True
Dealer_C,Product_X,South,712,136,drop,medium,False,high_demand,5071,False
Dealer_C,Product_Y,South,576,51,drop,medium,False,high_demand,8815,True
Dealer_D,Product_W,North,400,96,drop,high,False,steady,5760,True
Dealer_E,Product_Z,North,141,60,spike,medium,True,high_demand,9521,False
Dealer_D,Product_X,Central,479,90,normal,high,False,high_demand,2296,False
Dealer_E,Product_X,West,951,76,spike,medium,True,low_demand,7020,False
Dealer_E,Product_Y,South,481,2,drop,high,False,low_demand,2199,False
Dealer_A,Product_W,East,519,51,drop,low,True,steady,5287,True
Dealer_B,Product_Y,East,953,7,normal,low,False,high_demand,3024,True
Dealer_B,Product_X,North,191,51,drop,medium,True,low_demand,7160,False
Dealer_E,Product_V,Central,702,61,normal,high,True,high_demand,13546,True
Dealer_A,Product_Y,West,300,51,drop,medium,True,steady,8007,False
Dealer_C,Product_Y,Central,634,97,spike,high,True,steady,6802,True
Dealer_B,Product_V,Central,366,46,drop,high,True,high_demand,1317,True
Dealer_C,Product_Y,South,480,85,drop,high,False,high_demand,3168,True
Dealer_A,Product_W,North,716,13,spike,high,True,low_demand,5336,False
Dealer_D,Product_W,West,440,68,drop,low,True,steady,5298,True
Dealer_C,Product_Y,East,117,7,normal,high,False,steady,7059,False
Dealer_E,Product_V,North,178,39,drop,low,False,low_demand,3873,False
Dealer_C,Product_X,East,266,12,drop,high,False,steady,5849,True
Dealer_A,Product_X,East,804,74,normal,high,False,steady,5298,True
Dealer_E,Product_V,East,802,136,drop,low,True,low_demand,5298,False
Dealer_A,Product_X,West,554,51,spike,medium,True,high_demand,8356,False
Dealer_A,Product_W,North,606,4,normal,low,False,low_demand,336,False
Dealer_E,Product_X,North,868,87,normal,medium,True,steady,4226,False
Dealer_E,Product_X,East,646,5,drop,low,False,high_demand,125,True
Dealer_A,Product_X,South,694,62,normal,low,True,low_demand,9146,True
Dealer_D,Product_W,East,632,61,spike,low,False,low_demand,13546,True
Dealer_B,Product_V,South,629,96,spike,high,True,high_demand,4143,True
Dealer_D,Product_X,East,701,52,normal,high,False,high_demand,1964,False
Dealer_B,Product_Y,Central,18,5,normal,high,False,steady,4483,True
Dealer_D,Product_Z,Central,243,74,drop,high,True,low_demand,8363,False
Dealer_D,Product_X,West,108,14,spike,low,False,high_demand,6719,True
Dealer_E,Product_Y,West,927,42,spike,low,False,steady,1229,False
Dealer_B,Product_Z,North,439,21,normal,high,False,steady,489,True
Dealer_E,Product_Y,Central,804,75,drop,medium,False,low_demand,6626,False
Dealer_A,Product_W,Central,394,46,drop,medium,False,high_demand,1270,True
Dealer_E,Product_X,East,918,41,normal,medium,False,low_demand,1678,False
Dealer_A,Product_W,Central,519,51,drop,high,False,low_demand,5287,True
Dealer_C,Product_Z,South,520,64,spike,low,True,steady,2286,False
Dealer_B,Product_X,South,265,51,spike,medium,True,high_demand,9580,True
Dealer_E,Product_X,North,248,49,spike,medium,False,low_demand,2961,True
Dealer_A,Product_V,Central,344,28,normal,low,False,steady,8892,False
Dealer_A,Product_W,South,54,4,drop,medium,False,high_demand,1549,True
Dealer_B,Product_Y,West,488,77,drop,medium,True,low_demand,5608,False
Dealer_A,Product_X,North,995,51,spike,low,True,low_demand,2127,False
Dealer_A,Product_V,North,18,39,normal,low,True,steady,7926,False
Dealer_C,Product_V,West,774,63,normal,low,True,steady,8769,False
Dealer_D,Product_Z,Central,828,82,drop,low,True,high_demand,7932,False
Dealer_B,Product_W,East,585,35,spike,high,False,high_demand,4194,False
Dealer_D,Product_Y,North,153,55,drop,low,False,high_demand,3586,False
Dealer_E,Product_X,Central,519,51,spike,low,False,high_demand,5287,False
Dealer_E,Product_V,North,159,72,spike,low,False,high_demand,7621,True
Dealer_A,Product_Y,South,965,45,drop,low,False,low_demand,3047,False
Dealer_B,Product_Y,East,675,94,normal,medium,False,steady,106,True
Dealer_C,Product_Z,Central,540,3,spike,high,True,low_demand,4971,False
Dealer_E,Product_V,Central,989,68,drop,low,False,low_demand,774,True
Dealer_A,Product_V,East,176,55,spike,high,False,steady,1567,True
Dealer_E,Product_W,North,67,59,normal,low,False,steady,3404,False
Dealer_B,Product_W,East,520,50,drop,high,False,low_demand,8863,True
Dealer_C,Product_W,East,510,51,drop,medium,True,low_demand,9792,True
Dealer_D,Product_Z,East,279,79,spike,low,False,high_demand,773,True
Dealer_E,Product_W,West,790,51,spike,low,False,low_demand,6676,True
Dealer_C,Product_V,North,409,94,normal,low,False,high_demand,5559,True
Dealer_A,Product_Z,Central,519,51,normal,high,True,steady,5287,True
Dealer_E,Product_Y,Central,854,54,spike,low,True,high_demand,6998,False
Dealer_D,Product_Z,Central,343,54,drop,medium,True,steady,9534,True
Dealer_A,Product_V,North,311,38,normal,low,True,low_demand,9116,False
Dealer_B,Product_V,North,487,45,spike,high,True,steady,6651,True
Dealer_A,Product_V,West,400,58,normal,high,True,low_demand,1366,True
Dealer_D,Product_Z,Central,216,27,spike,low,True,low_demand,7350,True
Dealer_D,Product_V,East,811,20,spike,medium,False,low_demand,5499,False
Dealer_D,Product_W,Central,549,66,spike,high,True,high_demand,1184,False
Dealer_E,Product_X,Central,880,36,drop,high,False,low_demand,8620,False
Dealer_D,Product_W,West,859,31,drop,low,True,steady,4158,False
Dealer_C,Product_W,East,651,89,spike,medium,False,steady,4205,True
Dealer_B,Product_Y,East,748,79,drop,medium,False,high_demand,9772,False
Dealer_C,Product_V,Central,520,9,normal,low,False,steady,9803,False
Dealer_A,Product_Z,West,784,69,spike,medium,True,steady,5298,True
Dealer_A,Product_W,Central,354,33,drop,medium,False,low_demand,5481,True
Dealer_D,Product_V,East,749,4,drop,low,True,low_demand,7959,False
Dealer_B,Product_W,East,519,51,spike,high,False,steady,5287,False
Dealer_A,Product_Y,West,877,83,spike,high,False,low_demand,5298,False
Dealer_E,Product_X,West,472,11,drop,high,False,low_demand,4295,False
Dealer_C,Product_X,East,52,78,normal,low,True,low_demand,8333,True
Dealer_B,Product_X,South,116,57,normal,low,False,low_demand,5298,True
Dealer_A,Product_V,West,519,51,spike,low,True,steady,5287,True
Dealer_C,Product_Z,North,551,5,normal,low,False,steady,3428,True
Dealer_B,Product_W,Central,628,42,spike,medium,False,steady,8416,False
Dealer_A,Product_X,North,520,60,drop,low,False,low_demand,9416,False
Dealer_A,Product_W,South,520,65,normal,high,False,steady,2527,True
Dealer_B,Product_V,North,519,51,spike,high,True,low_demand,5287,False
Dealer_D,Product_Y,West,929,12,drop,low,True,low_demand,8476,True
Dealer_C,Product_X,East,39,26,spike,high,False,steady,4497,True
Dealer_D,Product_W,East,832,29,drop,high,True,steady,2740,False
Dealer_B,Product_X,North,520,136,drop,low,False,low_demand,1764,True
Dealer_B,Product_Z,East,189,23,spike,medium,True,low_demand,6538,True
Dealer_E,Product_Y,Central,519,51,drop,medium,True,low_demand,5287,True
Dealer_D,Product_V,West,989,62,normal,low,False,steady,4769,True
Dealer_B,Product_Y,Central,511,58,drop,medium,False,high_demand,5193,False
Dealer_B,Product_Z,North,195,22,drop,low,True,high_demand,1222,False
Dealer_B,Product_V,East,519,51,spike,medium,True,high_demand,5287,True
Dealer_B,Product_X,South,561,136,normal,high,True,steady,552,False
Dealer_B,Product_X,North,734,98,normal,high,False,low_demand,6867,True
Dealer_A,Product_X,North,774,4,normal,high,False,steady,589,True
Dealer_B,Product_Z,East,204,25,spike,low,False,low_demand,1662,True
Dealer_A,Product_V,Central,520,13,drop,high,True,high_demand,4088,True
Dealer_E,Product_W,East,161,99,normal,medium,False,low_demand,1818,False
Dealer_C,Product_X,North,360,72,spike,medium,True,low_demand,1063,False
Dealer_A,Product_Y,South,499,16,drop,low,False,high_demand,1499,False
Dealer_A,Product_Z,North,928,136,spike,low,False,low_demand,1655,False
Dealer_A,Product_V,East,748,33,normal,low,True,low_demand,4030,False
Dealer_D,Product_W,East,282,32,normal,medium,False,high_demand,372,True
Dealer_A,Product_Y,North,258,96,drop,high,False,steady,7803,False
Dealer_A,Product_V,East,750,6,drop,medium,True,steady,7517,True
Dealer_A,Product_Z,North,18,17,drop,medium,False,low_demand,6032,True
Dealer_D,Product_W,East,891,50,drop,high,False,low_demand,8584,False
Dealer_A,Product_X,Central,774,136,spike,medium,False,low_demand,335,False
Dealer_B,Product_Z,East,798,8,spike,low,False,steady,6750,False
Dealer_B,Product_V,West,100,20,drop,low,True,low_demand,2618,True
Dealer_A,Product_Z,West,408,52,drop,high,True,high_demand,3331,False
Dealer_A,Product_Y,South,494,11,normal,low,True,low_demand,8323,False
Dealer_B,Product_Z,South,520,72,drop,low,False,low_demand,5579,True
Dealer_E,Product_Z,Central,278,86,drop,medium,False,low_demand,9673,True
Dealer_A,Product_W,North,109,90,spike,high,True,low_demand,1257,False
Dealer_C,Product_W,West,775,76,normal,medium,True,steady,6535,False
Dealer_D,Product_Z,South,42,81,drop,low,True,low_demand,3238,True
Dealer_C,Product_Y,West,268,99,spike,low,True,low_demand,5298,False
Dealer_B,Product_V,East,956,59,normal,low,False,high_demand,9651,False
Dealer_B,Product_V,West,586,13,drop,low,False,steady,7580,True
Dealer_C,Product_V,South,482,62,drop,low,False,low_demand,9902,True
Dealer_B,Product_Y,West,520,74,drop,high,True,steady,9010,False
Dealer_B,Product_Y,Central,243,21,drop,high,False,steady,2204,False
Dealer_A,Product_W,Central,676,72,drop,low,False,low_demand,8942,True
Dealer_D,Product_V,Central,392,14,normal,low,False,high_demand,4876,False
Dealer_A,Product_X,North,349,69,drop,medium,True,low_demand,2080,True
Dealer_A,Product_W,South,213,80,spike,low,True,low_demand,3823,False
Dealer_C,Product_V,West,519,51,drop,medium,False,high_demand,5287,False
Dealer_B,Product_X,West,557,45,drop,medium,False,steady,5626,True
Dealer_A,Product_W,East,920,27,normal,low,False,high_demand,3836,True
Dealer_E,Product_Y,West,708,136,spike,medium,False,high_demand,4822,True
Dealer_B,Product_Y,North,1345,13,normal,medium,True,steady,5298,True
Dealer_C,Product_V,East,968,21,spike,low,True,steady,7056,False
Dealer_E,Product_V,West,981,30,drop,medium,True,high_demand,3849,True
Dealer_A,Product_Y,West,21,48,drop,low,False,steady,1458,True
Dealer_C,Product_V,Central,905,59,drop,low,True,high_demand,7166,False
Dealer_B,Product_V,East,471,47,drop,medium,False,steady,5877,False
Dealer_E,Product_Y,Central,991,29,drop,low,True,low_demand,1346,False
Dealer_A,Product_V,Central,449,51,normal,high,False,low_demand,4068,True
Dealer_D,Product_Z,East,83,60,spike,high,True,steady,4222,True
Dealer_D,Product_X,West,790,81,drop,low,True,low_demand,4930,True
Dealer_D,Product_V,Central,825,21,normal,high,True,high_demand,6718,True
Dealer_A,Product_W,North,139,6,normal,high,False,steady,7421,True
Dealer_B,Product_W,East,310,61,normal,medium,True,low_demand,3702,False
Dealer_D,Product_Z,East,1345,49,drop,medium,True,high_demand,1214,False
Dealer_A,Product_Z,Central,805,64,drop,medium,False,steady,8228,True
Dealer_A,Product_Z,East,190,53,drop,high,False,high_demand,5894,True
Dealer_C,Product_W,North,757,31,drop,medium,True,high_demand,9599,True
Dealer_E,Product_Z,West,909,27,normal,low,True,low_demand,6159,True
Dealer_A,Product_Z,Central,579,13,spike,high,True,low_demand,3940,False
Dealer_A,Product_W,Central,196,61,drop,low,False,high_demand,5046,True
Dealer_B,Product_X,Central,519,51,spike,low,True,low_demand,5287,True
Dealer_A,Product_W,West,367,51,drop,high,True,low_demand,7143,False
Dealer_D,Product_W,West,91,1,normal,high,True,high_demand,6758,False
Dealer_C,Product_V,South,954,90,spike,medium,False,steady,8653,True
Dealer_C,Product_V,North,678,99,drop,medium,False,steady,7138,False
Dealer_E,Product_W,North,979,51,drop,high,True,steady,3601,True
Dealer_C,Product_Y,North,167,74,drop,medium,False,high_demand,8104,True
Dealer_B,Product_V,East,105,51,drop,low,False,steady,9727,True
Dealer_B,Product_X,East,74,42,drop,high,True,high_demand,6219,True
Dealer_A,Product_Z,West,444,14,drop,medium,False,steady,2851,True
Dealer_C,Product_Y,South,590,69,normal,medium,False,high_demand,2249,True
Dealer_A,Product_X,East,64,9,spike,low,False,low_demand,6492,True
Dealer_A,Product_V,Central,633,51,drop,high,False,low_demand,13546,True
Dealer_D,Product_W,East,520,54,normal,medium,False,steady,2924,False
Dealer_A,Product_Y,West,700,96,drop,high,True,steady,4330,True
Dealer_A,Product_W,North,373,66,drop,high,False,steady,3442,False
Dealer_C,Product_W,East,486,48,spike,medium,False,high_demand,7597,False
Dealer_B,Product_X,South,692,136,drop,medium,True,steady,7727,False
Dealer_A,Product_V,South,635,13,spike,low,False,low_demand,1946,True
Dealer_D,Product_Y,Central,519,51,normal,high,True,low_demand,5287,True
Dealer_E,Product_X,North,297,54,normal,medium,False,low_demand,502,True
Dealer_E,Product_Z,East,29,33,drop,medium,False,low_demand,5534,True
Dealer_D,Product_W,South,607,91,normal,low,False,low_demand,2322,False
Dealer_E,Product_X,Central,586,99,spike,high,False,steady,3170,False
Dealer_A,Product_W,East,484,30,drop,medium,False,low_demand,1793,True
